Assassins Creed Odyssey,Ubisoft,Ubisoft Montreal,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Assassins Creed Odyssey,Ubisoft,Ubisoft Kiev,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Assassins Creed Black Flag,Ubisoft,Ubisoft Montreal,Tue Oct 29 2013 00:00:00 GMT+0100 (Central European Standard Time),39.99,Action,24,Assassins Creed,8.5,true,false
Assassins Creed Odyssey,Ubisoft,Ubisoft Bucharest,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Assassins Creed Odyssey,Ubisoft,Ubisoft Shangai,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Assassins Creed Odyssey,Ubisoft,Ubisoft Singapore,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Call of Duty: Modern Warfare,Activision,Treyarch,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,Sledgehammer Games,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,Infinity Ward,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,Beenox,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,Raven Software,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,High Moon Studios,,69.99,FPS,6,Call of Duty,,true,true
Call of Duty: Modern Warfare,Activision,Demonware,,69.99,FPS,6,Call of Duty,,true,true
Valheim,Coffee Stain Publishing,Iron Gate AB,Tue Feb 02 2021 00:00:00 GMT+0100 (Central European Standard Time),19.99,RPG,76,,9,false,true
Total War Warhammer 3,SEGA,Creative Assembly,Thu Feb 17 2022 00:00:00 GMT+0100 (Central European Standard Time),59.99,Strategy,,Total War,9,true,false
Total War Warhammer 2,SEGA,Creative Assembly,Thu Sep 28 2017 00:00:00 GMT+0200 (Central European Summer Time),59.99,Strategy,,Total War,9.1,true,false
Total War Warhammer,SEGA,Creative Assembly,Tue May 24 2016 00:00:00 GMT+0200 (Central European Summer Time),59.99,Strategy,,Total War,8.6,true,false
Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Tue Jan 23 2018 00:00:00 GMT+0100 (Central European Standard Time),29.99,Indie,30,,9.1,true,false
Stellaris,Paradox Interactive,Paradox Development Studio,Mon May 09 2016 00:00:00 GMT+0200 (Central European Summer Time),39.99,4X,,,6.3,true,false
Overwatch,Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,Tue May 03 2016 00:00:00 GMT+0200 (Central European Summer Time),0,FPS,,,10,true,false
Leauge of Legends,Riot Games,Riot Games,Tue Oct 27 2009 00:00:00 GMT+0100 (Central European Standard Time),0,MOBA,,,9.2,false,true
Foundation,Polymorph Gaming,Polymorph Gaming,Fri Feb 01 2019 00:00:00 GMT+0100 (Central European Standard Time),29.99,Indie,,,9,true,false
Assassins Creed Origins,Ubisoft,Ubisoft Montreal,Fri Dec 15 2017 00:00:00 GMT+0100 (Central European Standard Time),59.99,RPG,30,Assassins Creed,9,true,false
Assassins Creed Odyssey,Ubisoft,Ubisoft Quebec,Fri Oct 05 2018 00:00:00 GMT+0200 (Central European Summer Time),59.99,RPG,30,Assassins Creed,9.2,true,false
Assassins Creed Syndicate,Ubisoft,Ubisoft Quebec,Fri Oct 23 2015 00:00:00 GMT+0200 (Central European Summer Time),10,Action,30,Assassins Creed,8.2,true,false